timestamp,date,attempt_number,guess,feedback,game_result
2026-08-08T16:12:21,2026-08-08,1,7865,APAP,ongoing
2026-08-08T16:12:33,2026-08-08,2,8567,CPAA,ongoing
2026-08-08T16:12:52,2026-08-08,3,8915,CPAP,ongoing
2026-08-08T16:13:10,2026-08-08,4,8295,CAPP,ongoing
2026-08-08T16:13:25,2026-08-08,5,8359,CACC,ongoing
2026-08-08T16:13:35,2026-08-08,6,8459,CACC,ongoing
2026-08-08T16:14:03,2026-08-08,7,8059,CCCC,won
2026-08-23T12:39:06,2026-08-23,1,5960,AAAC,ongoing
2026-08-23T12:39:30,2026-08-23,2,1245,ACCA,ongoing
2026-08-23T12:39:59,2026-08-23,3,3783,APAA,ongoing
2026-08-23T12:40:09,2026-08-23,4,7240,CCCC,won
